vram,name
0x03006940,GPT::BadInstructionTrap_3006940
0x03006fac,GPT::BadInstructionTrap_3006FAC
0x03007034,GPT::BadInstructionTrap_3007034
0x08000000,entry
0x080000c0,GPT::GbaRuntimeResetLoop
0x08000168,GPT::DispatchGbaInterrupt
0x08040d18,GPT::HandleFrontendCreditsState
0x08041078,GPT::InitializeFrontendLevelRows
0x080410b4,GPT::LoadFrontendLevelSprite
0x08041188,GPT::RenderFrontendLevelStats
0x08041288,GPT::RenderFrontendLevelLabels
0x08041324,GPT::SetFrontendLevelRowVisibility
0x08041344,GPT::SetFrontendLevelStatsVisibility
0x08041364,GPT::ClearFrontendLevelActors
0x08041390,GPT::UpdateFrontendLevelRowPositions
0x080413fc,GPT::RunFrontendLevelSelectionStateMachine
0x08041ea0,GPT::HandleDialogueTextControlCode
0x080420c4,GPT::HandleDialogueTextState
0x0804257c,GPT::HandleFrontendFadeAndTransitionEvent
0x080427e4,GPT::HandleCollectionListFrontendState
0x08043118,GPT::HandleCollectionFrontendExit
0x08043144,GPT::DestroyCollectionFrontendActors
0x080431b6,GPT::DispatchCollectionFrontendSubstate
0x080431e8,GPT::SelectSpriteDataBank
0x0804323c,GPT::PrintProfileTiming
0x08043370,GPT::BuildMenuEntryObjects
0x080434ec,GPT::AdvanceFrontendMotionObjects
0x08043558,GPT::ResetMenuEntryMotion
0x08043604,GPT::ShowMenuEntryNotification
0x080436b0,GPT::DestroyMenuEntryMotion
0x08043720,GPT::ComposeFrontendSelectionCode
0x0804374c,GPT::DispatchFrontendInputEvents
0x0804385c,GPT::MoveMenuObjectVertical
0x080438cc,GPT::MoveMenuObjectHorizontal
0x0804393c,GPT::ComputeMultiplayerPacketChecksum
0x08043960,GPT::WriteMultiplayerPacketChecksum
0x08043970,GPT::ValidateMultiplayerPacket
0x080439a0,GPT::InitializeMultiplayerTransferRecord
0x080439f4,GPT::AdvanceMultiplayerTransferSegment
0x08043a0c,GPT::HandleFrontendAdvanceInput
0x08043a58,GPT::HandleFrontendBackInput
0x08043aa0,GPT::HandleIconMenuState
0x08043cf8,GPT::HandleFrontendLevelSelectionEvent
0x08043d84,GPT::HandleFrontendTransferStateEvent
0x08043db8,GPT::RenderLevelStatistics
0x08043f40,GPT::PositionLevelStatisticsRows
0x08044054,GPT::HandleLevelSelectionState
0x0804423c,GPT::PositionLevelSelectionRows
0x08044314,GPT::RenderLevelStatisticsValue
0x0804444c,GPT::HandleMultiplayerResultsState
0x080448f4,GPT::HandleMultiplayerTransferFrontendEvent
0x08044c48,GPT::HandleMultiplayerStatusScreenEventA
0x08044ed4,GPT::HandleMultiplayerStatusScreenEventB
0x08045160,GPT::HandleMultiplayerStatusScreenEventC
0x080453d8,GPT::RouteFrontendSelectionEvent
0x0804541c,GPT::HandleFrontendModeSelectionEvent
0x08045638,GPT::HandleFrontendTransitionForwardEvent
0x0804566c,GPT::HandleFrontendExitEvent
0x0804568c,GPT::HandleUnlockAnimationState
0x08045848,GPT::HandleFrontendModeMenuEvent
0x08045a7c,GPT::HandleIconMenuNavigationEventA
0x08045cb4,GPT::HandleStatusScreenEvent
0x080461d8,GPT::HandleIconMenuNavigationEventB
0x08046424,GPT::HandleFrontendTransitionEvent
0x08046468,GPT::RefreshFrontendSpriteAsset
0x080464c0,GPT::PositionFrontendStatusSprites
0x08046500,GPT::HandleFrontendLevelRowState
0x08046814,GPT::HandleIconMenuNavigationEventC
0x08046a0c,GPT::HandleLevelSaveResultScreen
0x08046b94,GPT::HandleFrontendTimedNoticeEvent
0x08046cc4,GPT::HandleSaveBackupMenuEvent
0x08046f2c,GPT::InitializeCollectionEntrySprites
0x0804703c,GPT::ApplyCollectionRowLayout
0x08047080,GPT::SetCollectionRowPriorities
0x080470c8,GPT::ClearCollectionRowsAndActors
0x0804712c,GPT::RenderCollectionEntryDetails
0x08047494,GPT::RefreshCollectionEntryAssets
0x080475e0,GPT::DispatchBladeSelectionFrontendState
0x08047e46,GPT::DispatchBladeSelectionSubstate
0x08047e5c,GPT::HandleBladeSelectionFrontendEvent
0x080480ec,GPT::HandleIconMenuNavigationEventD
0x08048310,GPT::HandleMultiplayerIconMenuTransferEventA
0x0804868c,GPT::HandleMultiplayerIconMenuTransferEventB
0x08048a74,GPT::UpdateSelectionSpriteAnimation
0x08048ae8,GPT::HandleMultiplayerTransferState
0x08048d8c,GPT::HandleLevelSummaryFrontendEvent
0x08048f80,GPT::ParseDecimal
0x08048fb4,GPT::SkipToClosingBrace
0x08048fb8,GPT::SkipPastClosingBrace_8048FB8
0x08048fc4,sub_8048fc4
0x08048fc8,sub_8048fc8
0x08048fcc,GPT::GetFrontendContext
0x08048fd4,sub_8048fd4
0x08048fe4,GPT::ExitFrontendStateAndStopAudio
0x08048ffc,GPT::IsFrontendMenuEntryActive
0x08049018,GPT::ResetFrontendMotionTargets
0x0804903c,GPT::SetFrontendMotionTarget
0x08049074,GPT::ApproachSpriteObjectPosition
0x080490cc,GPT::DispatchFrontendCallback
0x080490f8,GPT::PushFrontendState
0x0804915c,GPT::GetCurrentFrontendState
0x08049168,GPT::ResetFrontendTransitionFlag
0x08049178,GPT::PopFrontendState
0x080491c4,GPT::InitializeFrontendSpriteObject
0x080491e0,GPT::ApproachFixedPointValue
0x08049210,GPT::SetFrontendSelectionIndex
0x08049234,GPT::SetFrontendTransitionState
0x08049240,GPT::GetFrontendTransitionState
0x0804924c,GPT::SetFrontendTransitionCode
0x08049258,GPT::GetFrontendTransitionCode
0x08049264,GPT::InitFrontEndState
0x08049320,GPT::SetFrontendStateHandlerOverride
0x08049330,GPT::SetFrontendFrameUpdateHandler
0x08049344,GPT::DispatchFrontendStateEvent
0x080493c8,GPT::HandleFrontendMultiplayerTransition
0x08049458,GPT::RunFrontEndLoop
0x080495c4,GPT::UpdateFrontendMotion
0x0804967c,GPT::BuildLevelSelectionActors
0x080498d8,GPT::ResetFrontendBackgroundScrollBase
0x080498f8,GPT::ApplyFrontendDisplayAndPalettes
0x08049950,GPT::InitializeFrontendBackgroundStateA
0x080499bc,GPT::InitializeFrontendBackgroundStateB
0x08049a24,GPT::ApplyDisplayConfigAndBuildBackgroundLayers
0x08049a84,GPT::InitializeBackgroundLayersAndUploadPalette
0x08049af8,GPT::InitializeBackgroundLayersWithoutPaletteUpload
0x08049b68,GPT::InitializeBackgroundLayersAndSetScrollFlags
0x08049bf8,GPT::ApplyDisplayConfigAndSetBackgroundScroll
0x08049c70,GPT::ApplyDisplayConfigAndSetAlternateScroll
0x08049ce8,GPT::HandleFrontendPaletteTransitionEventA
0x08049de0,GPT::HandleFrontendPaletteTransitionEventB
0x08049f58,GPT::UpdateFrontendSpriteAnimationStateA
0x08049f9c,GPT::UpdateFrontendSpriteAnimationStateB
0x08049ff8,GPT::HandleFrontendBackgroundDisplayEvent
0x0804a0e0,GPT::GetLevelRowSpriteObject
0x0804a110,GPT::UpdateLevelRowPositions
0x0804a1e4,GPT::UpdateLevelSelectionBounds
0x0804a234,GPT::EnableLevelBackgroundLayer
0x0804a26c,GPT::DisableLevelBackgroundLayer
0x0804a280,GPT::HandleLevelSelectionTransition
0x0804a2f0,GPT::PlayFrontendSound_003C_A
0x0804a300,GPT::PlayFrontendSound_003C_B
0x0804a310,GPT::PlayFrontendSound_003C_C
0x0804a320,GPT::PlayFrontendSound_003C_D
0x0804a330,GPT::SetDialogueActorStateByte
0x0804a33c,GPT::GetDialogueActorStateByte
0x0804a348,GPT::PlayFrontendSound_003C_E
0x0804a358,GPT::StorePendingLevelResultValue
0x0804a364,GPT::TouchDialogueMessageTableEntry
0x0804a378,GPT::GetDialogueMessageTableEntry
0x0804a388,GPT::InitializeTutorialManagement
0x0804a488,GPT::InitializeTutorialActorForLevel
0x0804a504,GPT::HasPendingGameplayDialogue
0x0804a51c,GPT::DispatchPendingGameplayDialogue
0x0804a550,GPT::RunGameplayDialogueMessage
0x0804a72c,GPT::ResetLevelSelectionRuntimeState
0x0804a744,GPT::InitializeTutorialBackgroundLayer
0x0804a7e8,GPT::HideBackgroundLayerForAssetUpload
0x0804a7f8,GPT::UploadBackgroundAssetToVram
0x0804a820,sub_804a820
0x0804a824,GPT::AdvanceAssetMotionOffset
0x0804a830,GPT::SetAssetMotionOffset
0x0804a838,GPT::CreateSpriteTrail
0x0804a908,GPT::UpdateParticleEmitter
0x0804ab50,GPT::SetParticleFrameFlags
0x0804ab60,sub_804ab60
0x0804ab64,GPT::ApplyParticleTimingRecord
0x0804ab88,GPT::QuantizeParticleDirection
0x0804abd0,GPT::SetParticlePosition
0x0804abd8,GPT::SetParticlePositionBounds
0x0804abe4,GPT::ReleaseParticleBuffer
0x0804abfc,GPT::QueueFrontendSoundEffect
0x0804acf0,GPT::InitLevelRenderState
0x0804ad28,GPT::ResetLevelMusicState
0x0804ad44,GPT::SetLevelMusicActive
0x0804ad50,GPT::SetLevelMusicOffset
0x0804ad60,GPT::HasLevelMusicOffset
0x0804ad74,GPT::UpdateLevelMusicFade
0x0804ae30,sub_804ae30
0x0804ae34,GPT::PlayFrontendSoundChannel
0x0804ae8c,GPT::StopFrontendSoundChannel
0x0804aecc,GPT::UpdateFrontendSoundParameter
0x0804af04,GPT::StartLevelMusic
0x0804af5c,GPT::StopLevelMusic
0x0804af9c,GPT::StopSoundChannelA
0x0804afb8,GPT::StopSoundChannelB
0x0804afd4,GPT::SetSoundChannelParameterA
0x0804b00c,GPT::SetSoundChannelParameterB
0x0804b044,GPT::ResetSoundChannelA
0x0804b060,GPT::ResetSoundChannelB
0x0804b07c,GPT::InitializeRider
0x0804b2cc,GPT::LoadRiderMetadata
0x0804b4a4,GPT::DestroyRider
0x0804b4fc,GPT::UpdateRiderRenderState
